row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__034_Johnson_1997__r782,gt,034_Johnson_1997,mineral_concentration,na,b,foliar,laws__unfertilized,eco2_700_amb_350__y3,single_cell,ratio,ambient_co2,-0.148100,,Loladze CO2 Dataset row 782,0,"Species=""Pinus ponderosa 'Laws.'""->laws__unfertilized | Tissue='needles'->foliar | Element='B'->b | eCO2=700 aCO2=350->eco2_700_amb_350__y3 | AdditionalInfo='last (3rd) yr, unfertilized' | (E-A)/A=-0.1481 | n_species_in_ref=1 | ref='Johnson et al 1997'",gt-decode-v2
gt__034_Johnson_1997__r783,gt,034_Johnson_1997,mineral_concentration,na,ca,foliar,laws__unfertilized,eco2_700_amb_350__y3,single_cell,ratio,ambient_co2,-0.083300,,Loladze CO2 Dataset row 783,0,"Species=""Pinus ponderosa 'Laws.'""->laws__unfertilized | Tissue='needles'->foliar | Element='Ca'->ca | eCO2=700 aCO2=350->eco2_700_amb_350__y3 | AdditionalInfo='last (3rd) yr, unfertilized' | (E-A)/A=-0.0833 | n_species_in_ref=1 | ref='Johnson et al 1997'",gt-decode-v2
gt__034_Johnson_1997__r784,gt,034_Johnson_1997,mineral_concentration,na,cu,foliar,laws__unfertilized,eco2_700_amb_350__y1993,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 784,0,"Species=""Pinus ponderosa 'Laws.'""->laws__unfertilized | Tissue='needles'->foliar | Element='Cu'->cu | eCO2=700 aCO2=350->eco2_700_amb_350__y1993 | AdditionalInfo='1993, unfertilized' | (E-A)/A=0 | n_species_in_ref=1 | ref='Johnson et al 1997'",gt-decode-v2
gt__034_Johnson_1997__r785,gt,034_Johnson_1997,mineral_concentration,na,fe,foliar,laws__unfertilized,eco2_700_amb_350__y1993,single_cell,ratio,ambient_co2,0.010600,,Loladze CO2 Dataset row 785,0,"Species=""Pinus ponderosa 'Laws.'""->laws__unfertilized | Tissue='needles'->foliar | Element='Fe'->fe | eCO2=700 aCO2=350->eco2_700_amb_350__y1993 | AdditionalInfo='1993, unfertilized' | (E-A)/A=0.0106 | n_species_in_ref=1 | ref='Johnson et al 1997'",gt-decode-v2
gt__034_Johnson_1997__r786,gt,034_Johnson_1997,mineral_concentration,na,k,foliar,laws__unfertilized,eco2_700_amb_350__y3,single_cell,ratio,ambient_co2,-0.030800,,Loladze CO2 Dataset row 786,0,"Species=""Pinus ponderosa 'Laws.'""->laws__unfertilized | Tissue='needles'->foliar | Element='K'->k | eCO2=700 aCO2=350->eco2_700_amb_350__y3 | AdditionalInfo='last (3rd) yr, unfertilized' | (E-A)/A=-0.0308 | n_species_in_ref=1 | ref='Johnson et al 1997'",gt-decode-v2
gt__034_Johnson_1997__r787,gt,034_Johnson_1997,mineral_concentration,na,mg,foliar,laws__unfertilized,eco2_700_amb_350__y3,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 787,0,"Species=""Pinus ponderosa 'Laws.'""->laws__unfertilized | Tissue='needles'->foliar | Element='Mg'->mg | eCO2=700 aCO2=350->eco2_700_amb_350__y3 | AdditionalInfo='last (3rd) yr, unfertilized' | (E-A)/A=0 | n_species_in_ref=1 | ref='Johnson et al 1997'",gt-decode-v2
gt__034_Johnson_1997__r788,gt,034_Johnson_1997,mineral_concentration,na,mn,foliar,laws__unfertilized,eco2_700_amb_350__y1993,single_cell,ratio,ambient_co2,-0.278500,,Loladze CO2 Dataset row 788,0,"Species=""Pinus ponderosa 'Laws.'""->laws__unfertilized | Tissue='needles'->foliar | Element='Mn'->mn | eCO2=700 aCO2=350->eco2_700_amb_350__y1993 | AdditionalInfo='1993, unfertilized' | (E-A)/A=-0.2785 | n_species_in_ref=1 | ref='Johnson et al 1997'",gt-decode-v2
gt__034_Johnson_1997__r789,gt,034_Johnson_1997,mineral_concentration,na,n,foliar,laws__unfertilized,eco2_700_amb_350__y3,single_cell,ratio,ambient_co2,-0.115700,,Loladze CO2 Dataset row 789,0,"Species=""Pinus ponderosa 'Laws.'""->laws__unfertilized | Tissue='needles'->foliar | Element='N'->n | eCO2=700 aCO2=350->eco2_700_amb_350__y3 | AdditionalInfo='last (3rd) yr, unfertilized' | (E-A)/A=-0.1157 | n_species_in_ref=1 | ref='Johnson et al 1997'",gt-decode-v2
gt__034_Johnson_1997__r790,gt,034_Johnson_1997,mineral_concentration,na,p,foliar,laws__unfertilized,eco2_700_amb_350__y3,single_cell,ratio,ambient_co2,-0.222200,,Loladze CO2 Dataset row 790,0,"Species=""Pinus ponderosa 'Laws.'""->laws__unfertilized | Tissue='needles'->foliar | Element='P'->p | eCO2=700 aCO2=350->eco2_700_amb_350__y3 | AdditionalInfo='last (3rd) yr, unfertilized' | (E-A)/A=-0.2222 | n_species_in_ref=1 | ref='Johnson et al 1997'",gt-decode-v2
gt__034_Johnson_1997__r791,gt,034_Johnson_1997,mineral_concentration,na,s,foliar,laws__unfertilized,eco2_700_amb_350__y3,single_cell,ratio,ambient_co2,-0.214300,,Loladze CO2 Dataset row 791,0,"Species=""Pinus ponderosa 'Laws.'""->laws__unfertilized | Tissue='needles'->foliar | Element='S'->s | eCO2=700 aCO2=350->eco2_700_amb_350__y3 | AdditionalInfo='last (3rd) yr, unfertilized' | (E-A)/A=-0.2143 | n_species_in_ref=1 | ref='Johnson et al 1997'",gt-decode-v2
gt__034_Johnson_1997__r792,gt,034_Johnson_1997,mineral_concentration,na,zn,foliar,laws__unfertilized,eco2_700_amb_350__y1993,single_cell,ratio,ambient_co2,-0.381000,,Loladze CO2 Dataset row 792,0,"Species=""Pinus ponderosa 'Laws.'""->laws__unfertilized | Tissue='needles'->foliar | Element='Zn'->zn | eCO2=700 aCO2=350->eco2_700_amb_350__y1993 | AdditionalInfo='1993, unfertilized' | (E-A)/A=-0.381 | n_species_in_ref=1 | ref='Johnson et al 1997'",gt-decode-v2
