row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__036_Schenk_1997__r464,gt,036_Schenk_1997,mineral_concentration,na,ca,above_ground,lolium_perenne,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.034900,,Loladze CO2 Dataset row 464,0,Species='Lolium perenne'->lolium_perenne | Tissue='above ground'->above_ground | Element='Ca'->ca | eCO2=670 aCO2=380->eco2_670_amb_380__y1992 | AdditionalInfo='1992' | (E-A)/A=-0.0349 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r465,gt,036_Schenk_1997,mineral_concentration,na,ca,above_ground,lolium_perenne,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,0.092300,,Loladze CO2 Dataset row 465,0,Species='Lolium perenne'->lolium_perenne | Tissue='above ground'->above_ground | Element='Ca'->ca | eCO2=670 aCO2=380->eco2_670_amb_380__y1993 | AdditionalInfo='1993' | (E-A)/A=0.0923 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r466,gt,036_Schenk_1997,mineral_concentration,na,k,above_ground,lolium_perenne,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.055600,,Loladze CO2 Dataset row 466,0,Species='Lolium perenne'->lolium_perenne | Tissue='above ground'->above_ground | Element='K'->k | eCO2=670 aCO2=380->eco2_670_amb_380__y1992 | AdditionalInfo='1992' | (E-A)/A=-0.0556 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r467,gt,036_Schenk_1997,mineral_concentration,na,k,above_ground,lolium_perenne,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.107500,,Loladze CO2 Dataset row 467,0,Species='Lolium perenne'->lolium_perenne | Tissue='above ground'->above_ground | Element='K'->k | eCO2=670 aCO2=380->eco2_670_amb_380__y1993 | AdditionalInfo='1993' | (E-A)/A=-0.1075 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r468,gt,036_Schenk_1997,mineral_concentration,na,mg,above_ground,lolium_perenne,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.038200,,Loladze CO2 Dataset row 468,0,Species='Lolium perenne'->lolium_perenne | Tissue='above ground'->above_ground | Element='Mg'->mg | eCO2=670 aCO2=380->eco2_670_amb_380__y1992 | AdditionalInfo='1992' | (E-A)/A=-0.0382 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r469,gt,036_Schenk_1997,mineral_concentration,na,mg,above_ground,lolium_perenne,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.078900,,Loladze CO2 Dataset row 469,0,Species='Lolium perenne'->lolium_perenne | Tissue='above ground'->above_ground | Element='Mg'->mg | eCO2=670 aCO2=380->eco2_670_amb_380__y1993 | AdditionalInfo='1993' | (E-A)/A=-0.0789 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r470,gt,036_Schenk_1997,mineral_concentration,na,n,above_ground,lolium_perenne,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.096600,,Loladze CO2 Dataset row 470,0,Species='Lolium perenne'->lolium_perenne | Tissue='above ground'->above_ground | Element='N'->n | eCO2=670 aCO2=380->eco2_670_amb_380__y1992 | AdditionalInfo='1992' | (E-A)/A=-0.0966 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r471,gt,036_Schenk_1997,mineral_concentration,na,n,above_ground,lolium_perenne,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.126400,,Loladze CO2 Dataset row 471,0,Species='Lolium perenne'->lolium_perenne | Tissue='above ground'->above_ground | Element='N'->n | eCO2=670 aCO2=380->eco2_670_amb_380__y1993 | AdditionalInfo='1993' | (E-A)/A=-0.1264 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r472,gt,036_Schenk_1997,mineral_concentration,na,na,above_ground,lolium_perenne,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.269900,,Loladze CO2 Dataset row 472,0,Species='Lolium perenne'->lolium_perenne | Tissue='above ground'->above_ground | Element='Na'->na | eCO2=670 aCO2=380->eco2_670_amb_380__y1992 | AdditionalInfo='1992' | (E-A)/A=-0.2699 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r473,gt,036_Schenk_1997,mineral_concentration,na,na,above_ground,lolium_perenne,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.386100,,Loladze CO2 Dataset row 473,0,Species='Lolium perenne'->lolium_perenne | Tissue='above ground'->above_ground | Element='Na'->na | eCO2=670 aCO2=380->eco2_670_amb_380__y1993 | AdditionalInfo='1993' | (E-A)/A=-0.3861 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r474,gt,036_Schenk_1997,mineral_concentration,na,p,above_ground,lolium_perenne,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.022200,,Loladze CO2 Dataset row 474,0,Species='Lolium perenne'->lolium_perenne | Tissue='above ground'->above_ground | Element='P'->p | eCO2=670 aCO2=380->eco2_670_amb_380__y1992 | AdditionalInfo='1992' | (E-A)/A=-0.0222 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r475,gt,036_Schenk_1997,mineral_concentration,na,p,above_ground,lolium_perenne,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.095700,,Loladze CO2 Dataset row 475,0,Species='Lolium perenne'->lolium_perenne | Tissue='above ground'->above_ground | Element='P'->p | eCO2=670 aCO2=380->eco2_670_amb_380__y1993 | AdditionalInfo='1993' | (E-A)/A=-0.0957 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r476,gt,036_Schenk_1997,mineral_concentration,na,s,above_ground,lolium_perenne,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,0.036100,,Loladze CO2 Dataset row 476,0,Species='Lolium perenne'->lolium_perenne | Tissue='above ground'->above_ground | Element='S'->s | eCO2=670 aCO2=380->eco2_670_amb_380__y1992 | AdditionalInfo='1992' | (E-A)/A=0.0361 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r477,gt,036_Schenk_1997,mineral_concentration,na,s,above_ground,lolium_perenne,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.052300,,Loladze CO2 Dataset row 477,0,Species='Lolium perenne'->lolium_perenne | Tissue='above ground'->above_ground | Element='S'->s | eCO2=670 aCO2=380->eco2_670_amb_380__y1993 | AdditionalInfo='1993' | (E-A)/A=-0.0523 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r1135,gt,036_Schenk_1997,mineral_concentration,na,ca,above_ground,trifolium_repens,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,0.042100,,Loladze CO2 Dataset row 1135,0,Species='Trifolium repens'->trifolium_repens | Tissue='above ground'->above_ground | Element='Ca'->ca | eCO2=670 aCO2=380->eco2_670_amb_380__y1992 | AdditionalInfo='1992' | (E-A)/A=0.0421 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r1136,gt,036_Schenk_1997,mineral_concentration,na,ca,above_ground,trifolium_repens,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,0.013800,,Loladze CO2 Dataset row 1136,0,Species='Trifolium repens'->trifolium_repens | Tissue='above ground'->above_ground | Element='Ca'->ca | eCO2=670 aCO2=380->eco2_670_amb_380__y1993 | AdditionalInfo='1993' | (E-A)/A=0.0138 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r1137,gt,036_Schenk_1997,mineral_concentration,na,k,above_ground,trifolium_repens,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.212900,,Loladze CO2 Dataset row 1137,0,Species='Trifolium repens'->trifolium_repens | Tissue='above ground'->above_ground | Element='K'->k | eCO2=670 aCO2=380->eco2_670_amb_380__y1992 | AdditionalInfo='1992' | (E-A)/A=-0.2129 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r1138,gt,036_Schenk_1997,mineral_concentration,na,k,above_ground,trifolium_repens,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.186700,,Loladze CO2 Dataset row 1138,0,Species='Trifolium repens'->trifolium_repens | Tissue='above ground'->above_ground | Element='K'->k | eCO2=670 aCO2=380->eco2_670_amb_380__y1993 | AdditionalInfo='1993' | (E-A)/A=-0.1867 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r1139,gt,036_Schenk_1997,mineral_concentration,na,mg,above_ground,trifolium_repens,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,0.009300,,Loladze CO2 Dataset row 1139,0,Species='Trifolium repens'->trifolium_repens | Tissue='above ground'->above_ground | Element='Mg'->mg | eCO2=670 aCO2=380->eco2_670_amb_380__y1992 | AdditionalInfo='1992' | (E-A)/A=0.0093 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r1140,gt,036_Schenk_1997,mineral_concentration,na,mg,above_ground,trifolium_repens,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.045300,,Loladze CO2 Dataset row 1140,0,Species='Trifolium repens'->trifolium_repens | Tissue='above ground'->above_ground | Element='Mg'->mg | eCO2=670 aCO2=380->eco2_670_amb_380__y1993 | AdditionalInfo='1993' | (E-A)/A=-0.0453 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r1141,gt,036_Schenk_1997,mineral_concentration,na,n,above_ground,trifolium_repens,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.010700,,Loladze CO2 Dataset row 1141,0,Species='Trifolium repens'->trifolium_repens | Tissue='above ground'->above_ground | Element='N'->n | eCO2=670 aCO2=380->eco2_670_amb_380__y1992 | AdditionalInfo='1992' | (E-A)/A=-0.0107 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r1142,gt,036_Schenk_1997,mineral_concentration,na,n,above_ground,trifolium_repens,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.027000,,Loladze CO2 Dataset row 1142,0,Species='Trifolium repens'->trifolium_repens | Tissue='above ground'->above_ground | Element='N'->n | eCO2=670 aCO2=380->eco2_670_amb_380__y1993 | AdditionalInfo='1993' | (E-A)/A=-0.027 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r1143,gt,036_Schenk_1997,mineral_concentration,na,na,above_ground,trifolium_repens,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.219500,,Loladze CO2 Dataset row 1143,0,Species='Trifolium repens'->trifolium_repens | Tissue='above ground'->above_ground | Element='Na'->na | eCO2=670 aCO2=380->eco2_670_amb_380__y1992 | AdditionalInfo='1992' | (E-A)/A=-0.2195 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r1144,gt,036_Schenk_1997,mineral_concentration,na,na,above_ground,trifolium_repens,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.251200,,Loladze CO2 Dataset row 1144,0,Species='Trifolium repens'->trifolium_repens | Tissue='above ground'->above_ground | Element='Na'->na | eCO2=670 aCO2=380->eco2_670_amb_380__y1993 | AdditionalInfo='1993' | (E-A)/A=-0.2512 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r1145,gt,036_Schenk_1997,mineral_concentration,na,p,above_ground,trifolium_repens,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.021300,,Loladze CO2 Dataset row 1145,0,Species='Trifolium repens'->trifolium_repens | Tissue='above ground'->above_ground | Element='P'->p | eCO2=670 aCO2=380->eco2_670_amb_380__y1992 | AdditionalInfo='1992' | (E-A)/A=-0.0213 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r1146,gt,036_Schenk_1997,mineral_concentration,na,p,above_ground,trifolium_repens,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,0.154000,,Loladze CO2 Dataset row 1146,0,Species='Trifolium repens'->trifolium_repens | Tissue='above ground'->above_ground | Element='P'->p | eCO2=670 aCO2=380->eco2_670_amb_380__y1993 | AdditionalInfo='1993' | (E-A)/A=0.154 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r1147,gt,036_Schenk_1997,mineral_concentration,na,s,above_ground,trifolium_repens,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.061700,,Loladze CO2 Dataset row 1147,0,Species='Trifolium repens'->trifolium_repens | Tissue='above ground'->above_ground | Element='S'->s | eCO2=670 aCO2=380->eco2_670_amb_380__y1992 | AdditionalInfo='1992' | (E-A)/A=-0.0617 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
gt__036_Schenk_1997__r1148,gt,036_Schenk_1997,mineral_concentration,na,s,above_ground,trifolium_repens,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,0.063700,,Loladze CO2 Dataset row 1148,0,Species='Trifolium repens'->trifolium_repens | Tissue='above ground'->above_ground | Element='S'->s | eCO2=670 aCO2=380->eco2_670_amb_380__y1993 | AdditionalInfo='1993' | (E-A)/A=0.0637 | n_species_in_ref=2 | ref='Schenk et al 1997',gt-decode-v2
