row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__039_Heagle_1993__r1151,gt,039_Heagle_1993,mineral_concentration,na,b,foliar,regal__ncr,eco2_710_amb_380,single_cell,ratio,ambient_co2,-0.276800,,Loladze CO2 Dataset row 1151,0,"Species=""Trifolium repens 'Regal'""->regal__ncr | Tissue='foliar'->foliar | Element='B'->b | eCO2=710 aCO2=380->eco2_710_amb_380 | AdditionalInfo='NC-R' | (E-A)/A=-0.2768 | n_species_in_ref=1 | ref='Heagle et al 1993'",gt-decode-v2
gt__039_Heagle_1993__r1152,gt,039_Heagle_1993,mineral_concentration,na,b,foliar,regal__ncs,eco2_710_amb_380,single_cell,ratio,ambient_co2,-0.304000,,Loladze CO2 Dataset row 1152,0,"Species=""Trifolium repens 'Regal'""->regal__ncs | Tissue='foliar'->foliar | Element='B'->b | eCO2=710 aCO2=380->eco2_710_amb_380 | AdditionalInfo='NC-S' | (E-A)/A=-0.304 | n_species_in_ref=1 | ref='Heagle et al 1993'",gt-decode-v2
gt__039_Heagle_1993__r1153,gt,039_Heagle_1993,mineral_concentration,na,ca,foliar,regal__ncr,eco2_710_amb_380,single_cell,ratio,ambient_co2,0.059200,,Loladze CO2 Dataset row 1153,0,"Species=""Trifolium repens 'Regal'""->regal__ncr | Tissue='foliar'->foliar | Element='Ca'->ca | eCO2=710 aCO2=380->eco2_710_amb_380 | AdditionalInfo='NC-R' | (E-A)/A=0.0592 | n_species_in_ref=1 | ref='Heagle et al 1993'",gt-decode-v2
gt__039_Heagle_1993__r1154,gt,039_Heagle_1993,mineral_concentration,na,ca,foliar,regal__ncs,eco2_710_amb_380,single_cell,ratio,ambient_co2,0.037400,,Loladze CO2 Dataset row 1154,0,"Species=""Trifolium repens 'Regal'""->regal__ncs | Tissue='foliar'->foliar | Element='Ca'->ca | eCO2=710 aCO2=380->eco2_710_amb_380 | AdditionalInfo='NC-S' | (E-A)/A=0.0374 | n_species_in_ref=1 | ref='Heagle et al 1993'",gt-decode-v2
gt__039_Heagle_1993__r1155,gt,039_Heagle_1993,mineral_concentration,na,cu,foliar,regal__ncr,eco2_710_amb_380,single_cell,ratio,ambient_co2,-0.245100,,Loladze CO2 Dataset row 1155,0,"Species=""Trifolium repens 'Regal'""->regal__ncr | Tissue='foliar'->foliar | Element='Cu'->cu | eCO2=710 aCO2=380->eco2_710_amb_380 | AdditionalInfo='NC-R' | (E-A)/A=-0.2451 | n_species_in_ref=1 | ref='Heagle et al 1993'",gt-decode-v2
gt__039_Heagle_1993__r1156,gt,039_Heagle_1993,mineral_concentration,na,cu,foliar,regal__ncs,eco2_710_amb_380,single_cell,ratio,ambient_co2,-0.193300,,Loladze CO2 Dataset row 1156,0,"Species=""Trifolium repens 'Regal'""->regal__ncs | Tissue='foliar'->foliar | Element='Cu'->cu | eCO2=710 aCO2=380->eco2_710_amb_380 | AdditionalInfo='NC-S' | (E-A)/A=-0.1933 | n_species_in_ref=1 | ref='Heagle et al 1993'",gt-decode-v2
gt__039_Heagle_1993__r1157,gt,039_Heagle_1993,mineral_concentration,na,fe,foliar,regal__ncr,eco2_710_amb_380,single_cell,ratio,ambient_co2,-0.183600,,Loladze CO2 Dataset row 1157,0,"Species=""Trifolium repens 'Regal'""->regal__ncr | Tissue='foliar'->foliar | Element='Fe'->fe | eCO2=710 aCO2=380->eco2_710_amb_380 | AdditionalInfo='NC-R' | (E-A)/A=-0.1836 | n_species_in_ref=1 | ref='Heagle et al 1993'",gt-decode-v2
gt__039_Heagle_1993__r1158,gt,039_Heagle_1993,mineral_concentration,na,fe,foliar,regal__ncs,eco2_710_amb_380,single_cell,ratio,ambient_co2,-0.167500,,Loladze CO2 Dataset row 1158,0,"Species=""Trifolium repens 'Regal'""->regal__ncs | Tissue='foliar'->foliar | Element='Fe'->fe | eCO2=710 aCO2=380->eco2_710_amb_380 | AdditionalInfo='NC-S' | (E-A)/A=-0.1675 | n_species_in_ref=1 | ref='Heagle et al 1993'",gt-decode-v2
gt__039_Heagle_1993__r1159,gt,039_Heagle_1993,mineral_concentration,na,k,foliar,regal__ncr,eco2_710_amb_380,single_cell,ratio,ambient_co2,-0.253000,,Loladze CO2 Dataset row 1159,0,"Species=""Trifolium repens 'Regal'""->regal__ncr | Tissue='foliar'->foliar | Element='K'->k | eCO2=710 aCO2=380->eco2_710_amb_380 | AdditionalInfo='NC-R' | (E-A)/A=-0.253 | n_species_in_ref=1 | ref='Heagle et al 1993'",gt-decode-v2
gt__039_Heagle_1993__r1160,gt,039_Heagle_1993,mineral_concentration,na,k,foliar,regal__ncs,eco2_710_amb_380,single_cell,ratio,ambient_co2,-0.138100,,Loladze CO2 Dataset row 1160,0,"Species=""Trifolium repens 'Regal'""->regal__ncs | Tissue='foliar'->foliar | Element='K'->k | eCO2=710 aCO2=380->eco2_710_amb_380 | AdditionalInfo='NC-S' | (E-A)/A=-0.1381 | n_species_in_ref=1 | ref='Heagle et al 1993'",gt-decode-v2
gt__039_Heagle_1993__r1161,gt,039_Heagle_1993,mineral_concentration,na,mg,foliar,regal__ncr,eco2_710_amb_380,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 1161,0,"Species=""Trifolium repens 'Regal'""->regal__ncr | Tissue='foliar'->foliar | Element='Mg'->mg | eCO2=710 aCO2=380->eco2_710_amb_380 | AdditionalInfo='NC-R' | (E-A)/A=0 | n_species_in_ref=1 | ref='Heagle et al 1993'",gt-decode-v2
gt__039_Heagle_1993__r1162,gt,039_Heagle_1993,mineral_concentration,na,mg,foliar,regal__ncs,eco2_710_amb_380,single_cell,ratio,ambient_co2,-0.064500,,Loladze CO2 Dataset row 1162,0,"Species=""Trifolium repens 'Regal'""->regal__ncs | Tissue='foliar'->foliar | Element='Mg'->mg | eCO2=710 aCO2=380->eco2_710_amb_380 | AdditionalInfo='NC-S' | (E-A)/A=-0.0645 | n_species_in_ref=1 | ref='Heagle et al 1993'",gt-decode-v2
gt__039_Heagle_1993__r1163,gt,039_Heagle_1993,mineral_concentration,na,mn,foliar,regal__ncr,eco2_710_amb_380,single_cell,ratio,ambient_co2,0.326900,,Loladze CO2 Dataset row 1163,0,"Species=""Trifolium repens 'Regal'""->regal__ncr | Tissue='foliar'->foliar | Element='Mn'->mn | eCO2=710 aCO2=380->eco2_710_amb_380 | AdditionalInfo='NC-R' | (E-A)/A=0.3269 | n_species_in_ref=1 | ref='Heagle et al 1993'",gt-decode-v2
gt__039_Heagle_1993__r1164,gt,039_Heagle_1993,mineral_concentration,na,mn,foliar,regal__ncs,eco2_710_amb_380,single_cell,ratio,ambient_co2,0.244600,,Loladze CO2 Dataset row 1164,0,"Species=""Trifolium repens 'Regal'""->regal__ncs | Tissue='foliar'->foliar | Element='Mn'->mn | eCO2=710 aCO2=380->eco2_710_amb_380 | AdditionalInfo='NC-S' | (E-A)/A=0.2446 | n_species_in_ref=1 | ref='Heagle et al 1993'",gt-decode-v2
