row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__040_Pfirrmann_1996__r710,gt,040_Pfirrmann_1996,mineral_concentration,na,c,foliar,karst__kminus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.008163,,Loladze CO2 Dataset row 710,0,"Species=""Picea abies 'Karst.'""->karst__kminus__needles | Tissue='needles'->foliar | Element='C'->c | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='-K, 1988 needles' | (E-A)/A=0.008163265 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r711,gt,040_Pfirrmann_1996,mineral_concentration,na,c,foliar,karst__kplus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.016701,,Loladze CO2 Dataset row 711,0,"Species=""Picea abies 'Karst.'""->karst__kplus__needles | Tissue='needles'->foliar | Element='C'->c | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='+K, 1988 needles' | (E-A)/A=-0.016701461 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r712,gt,040_Pfirrmann_1996,mineral_concentration,na,ca,foliar,karst__kminus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.080645,,Loladze CO2 Dataset row 712,0,"Species=""Picea abies 'Karst.'""->karst__kminus__needles | Tissue='needles'->foliar | Element='Ca'->ca | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='-K, 1988 needles' | (E-A)/A=0.080645 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r713,gt,040_Pfirrmann_1996,mineral_concentration,na,ca,foliar,karst__kplus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.156250,,Loladze CO2 Dataset row 713,0,"Species=""Picea abies 'Karst.'""->karst__kplus__needles | Tissue='needles'->foliar | Element='Ca'->ca | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='+K, 1988 needles' | (E-A)/A=0.15625 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r714,gt,040_Pfirrmann_1996,mineral_concentration,na,cu,foliar,karst__kminus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.164948,,Loladze CO2 Dataset row 714,0,"Species=""Picea abies 'Karst.'""->karst__kminus__needles | Tissue='needles'->foliar | Element='Cu'->cu | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='-K, 1988 needles' | (E-A)/A=0.164948 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r715,gt,040_Pfirrmann_1996,mineral_concentration,na,cu,foliar,karst__kplus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.108247,,Loladze CO2 Dataset row 715,0,"Species=""Picea abies 'Karst.'""->karst__kplus__needles | Tissue='needles'->foliar | Element='Cu'->cu | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='+K, 1988 needles' | (E-A)/A=0.108247 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r716,gt,040_Pfirrmann_1996,mineral_concentration,na,fe,foliar,karst__kminus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.191083,,Loladze CO2 Dataset row 716,0,"Species=""Picea abies 'Karst.'""->karst__kminus__needles | Tissue='needles'->foliar | Element='Fe'->fe | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='-K, 1988 needles' | (E-A)/A=-0.191083 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r717,gt,040_Pfirrmann_1996,mineral_concentration,na,fe,foliar,karst__kplus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.027950,,Loladze CO2 Dataset row 717,0,"Species=""Picea abies 'Karst.'""->karst__kplus__needles | Tissue='needles'->foliar | Element='Fe'->fe | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='+K, 1988 needles' | (E-A)/A=-0.02795 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r718,gt,040_Pfirrmann_1996,mineral_concentration,na,k,foliar,karst__kminus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.040936,,Loladze CO2 Dataset row 718,0,"Species=""Picea abies 'Karst.'""->karst__kminus__needles | Tissue='needles'->foliar | Element='K'->k | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='-K, 1988 needles' | (E-A)/A=0.040936 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r719,gt,040_Pfirrmann_1996,mineral_concentration,na,k,foliar,karst__kplus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.044513,,Loladze CO2 Dataset row 719,0,"Species=""Picea abies 'Karst.'""->karst__kplus__needles | Tissue='needles'->foliar | Element='K'->k | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='+K, 1988 needles' | (E-A)/A=-0.044513 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r720,gt,040_Pfirrmann_1996,mineral_concentration,na,mg,foliar,karst__kminus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.102817,,Loladze CO2 Dataset row 720,0,"Species=""Picea abies 'Karst.'""->karst__kminus__needles | Tissue='needles'->foliar | Element='Mg'->mg | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='-K, 1988 needles' | (E-A)/A=-0.102817 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
