row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__043_Natali_2009__r426,gt,043_Natali_2009,mineral_concentration,na,al,foliar,liquidambar_styraciflua__duke,eco2_582_amb_382,single_cell,ratio,ambient_co2,-0.288800,,Loladze CO2 Dataset row 426,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__duke | Tissue='foliar'->foliar | Element='Al'->al | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='Duke' | (E-A)/A=-0.2888 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r427,gt,043_Natali_2009,mineral_concentration,na,al,foliar,liquidambar_styraciflua__ornl,eco2_549_amb_393,single_cell,ratio,ambient_co2,-0.142900,,Loladze CO2 Dataset row 427,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__ornl | Tissue='foliar'->foliar | Element='Al'->al | eCO2=549 aCO2=393->eco2_549_amb_393 | AdditionalInfo='ORNL' | (E-A)/A=-0.1429 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r428,gt,043_Natali_2009,mineral_concentration,na,co,foliar,liquidambar_styraciflua__duke,eco2_582_amb_382,single_cell,ratio,ambient_co2,-0.280500,,Loladze CO2 Dataset row 428,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__duke | Tissue='foliar'->foliar | Element='Co'->co | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='Duke' | (E-A)/A=-0.2805 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r429,gt,043_Natali_2009,mineral_concentration,na,co,foliar,liquidambar_styraciflua__ornl,eco2_549_amb_393,single_cell,ratio,ambient_co2,-0.196300,,Loladze CO2 Dataset row 429,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__ornl | Tissue='foliar'->foliar | Element='Co'->co | eCO2=549 aCO2=393->eco2_549_amb_393 | AdditionalInfo='ORNL' | (E-A)/A=-0.1963 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r430,gt,043_Natali_2009,mineral_concentration,na,cu,foliar,liquidambar_styraciflua__duke,eco2_582_amb_382,single_cell,ratio,ambient_co2,-0.192300,,Loladze CO2 Dataset row 430,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__duke | Tissue='foliar'->foliar | Element='Cu'->cu | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='Duke' | (E-A)/A=-0.1923 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r431,gt,043_Natali_2009,mineral_concentration,na,cu,foliar,liquidambar_styraciflua__ornl,eco2_549_amb_393,single_cell,ratio,ambient_co2,-0.173900,,Loladze CO2 Dataset row 431,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__ornl | Tissue='foliar'->foliar | Element='Cu'->cu | eCO2=549 aCO2=393->eco2_549_amb_393 | AdditionalInfo='ORNL' | (E-A)/A=-0.1739 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r432,gt,043_Natali_2009,mineral_concentration,na,fe,foliar,liquidambar_styraciflua__duke,eco2_582_amb_382,single_cell,ratio,ambient_co2,-0.227000,,Loladze CO2 Dataset row 432,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__duke | Tissue='foliar'->foliar | Element='Fe'->fe | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='Duke' | (E-A)/A=-0.227 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r433,gt,043_Natali_2009,mineral_concentration,na,fe,foliar,liquidambar_styraciflua__ornl,eco2_549_amb_393,single_cell,ratio,ambient_co2,-0.082600,,Loladze CO2 Dataset row 433,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__ornl | Tissue='foliar'->foliar | Element='Fe'->fe | eCO2=549 aCO2=393->eco2_549_amb_393 | AdditionalInfo='ORNL' | (E-A)/A=-0.0826 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r434,gt,043_Natali_2009,mineral_concentration,na,mn,foliar,liquidambar_styraciflua__duke,eco2_582_amb_382,single_cell,ratio,ambient_co2,0.460600,,Loladze CO2 Dataset row 434,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__duke | Tissue='foliar'->foliar | Element='Mn'->mn | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='Duke' | (E-A)/A=0.4606 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r435,gt,043_Natali_2009,mineral_concentration,na,mn,foliar,liquidambar_styraciflua__ornl,eco2_549_amb_393,single_cell,ratio,ambient_co2,0.134300,,Loladze CO2 Dataset row 435,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__ornl | Tissue='foliar'->foliar | Element='Mn'->mn | eCO2=549 aCO2=393->eco2_549_amb_393 | AdditionalInfo='ORNL' | (E-A)/A=0.1343 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r436,gt,043_Natali_2009,mineral_concentration,na,mo,foliar,liquidambar_styraciflua__duke,eco2_582_amb_382,single_cell,ratio,ambient_co2,0.187700,,Loladze CO2 Dataset row 436,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__duke | Tissue='foliar'->foliar | Element='Mo'->mo | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='Duke' | (E-A)/A=0.1877 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
