row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__047_Rodenkirchen_2009__r206,gt,047_Rodenkirchen_2009,mineral_concentration,na,b,foliar,fagus_sylvatica,eco2_685_amb_385,single_cell,ratio,ambient_co2,0.222000,,Loladze CO2 Dataset row 206,0,Species='Fagus sylvatica'->fagus_sylvatica | Tissue='foliar'->foliar | Element='B'->b | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=0.222 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009',gt-decode-v2
gt__047_Rodenkirchen_2009__r207,gt,047_Rodenkirchen_2009,mineral_concentration,na,ca,foliar,fagus_sylvatica,eco2_685_amb_385,single_cell,ratio,ambient_co2,0.043200,,Loladze CO2 Dataset row 207,0,Species='Fagus sylvatica'->fagus_sylvatica | Tissue='foliar'->foliar | Element='Ca'->ca | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=0.0432 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009',gt-decode-v2
gt__047_Rodenkirchen_2009__r208,gt,047_Rodenkirchen_2009,mineral_concentration,na,cu,foliar,fagus_sylvatica,eco2_685_amb_385,single_cell,ratio,ambient_co2,-0.085700,,Loladze CO2 Dataset row 208,0,Species='Fagus sylvatica'->fagus_sylvatica | Tissue='foliar'->foliar | Element='Cu'->cu | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=-0.0857 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009',gt-decode-v2
gt__047_Rodenkirchen_2009__r209,gt,047_Rodenkirchen_2009,mineral_concentration,na,fe,foliar,fagus_sylvatica,eco2_685_amb_385,single_cell,ratio,ambient_co2,-0.237800,,Loladze CO2 Dataset row 209,0,Species='Fagus sylvatica'->fagus_sylvatica | Tissue='foliar'->foliar | Element='Fe'->fe | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=-0.2378 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009',gt-decode-v2
gt__047_Rodenkirchen_2009__r210,gt,047_Rodenkirchen_2009,mineral_concentration,na,k,foliar,fagus_sylvatica,eco2_685_amb_385,single_cell,ratio,ambient_co2,-0.095500,,Loladze CO2 Dataset row 210,0,Species='Fagus sylvatica'->fagus_sylvatica | Tissue='foliar'->foliar | Element='K'->k | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=-0.0955 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009',gt-decode-v2
gt__047_Rodenkirchen_2009__r211,gt,047_Rodenkirchen_2009,mineral_concentration,na,mg,foliar,fagus_sylvatica,eco2_685_amb_385,single_cell,ratio,ambient_co2,-0.039400,,Loladze CO2 Dataset row 211,0,Species='Fagus sylvatica'->fagus_sylvatica | Tissue='foliar'->foliar | Element='Mg'->mg | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=-0.0394 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009',gt-decode-v2
gt__047_Rodenkirchen_2009__r212,gt,047_Rodenkirchen_2009,mineral_concentration,na,mn,foliar,fagus_sylvatica,eco2_685_amb_385,single_cell,ratio,ambient_co2,0.144500,,Loladze CO2 Dataset row 212,0,Species='Fagus sylvatica'->fagus_sylvatica | Tissue='foliar'->foliar | Element='Mn'->mn | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=0.1445 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009',gt-decode-v2
gt__047_Rodenkirchen_2009__r213,gt,047_Rodenkirchen_2009,mineral_concentration,na,n,foliar,fagus_sylvatica,eco2_685_amb_385,single_cell,ratio,ambient_co2,-0.182040,,Loladze CO2 Dataset row 213,0,Species='Fagus sylvatica'->fagus_sylvatica | Tissue='foliar'->foliar | Element='N'->n | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=-0.18204 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009',gt-decode-v2
gt__047_Rodenkirchen_2009__r214,gt,047_Rodenkirchen_2009,mineral_concentration,na,p,foliar,fagus_sylvatica,eco2_685_amb_385,single_cell,ratio,ambient_co2,-0.043900,,Loladze CO2 Dataset row 214,0,Species='Fagus sylvatica'->fagus_sylvatica | Tissue='foliar'->foliar | Element='P'->p | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=-0.0439 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009',gt-decode-v2
gt__047_Rodenkirchen_2009__r215,gt,047_Rodenkirchen_2009,mineral_concentration,na,s,foliar,fagus_sylvatica,eco2_685_amb_385,single_cell,ratio,ambient_co2,-0.153153,,Loladze CO2 Dataset row 215,0,Species='Fagus sylvatica'->fagus_sylvatica | Tissue='foliar'->foliar | Element='S'->s | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=-0.153153 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009',gt-decode-v2
gt__047_Rodenkirchen_2009__r216,gt,047_Rodenkirchen_2009,mineral_concentration,na,zn,foliar,fagus_sylvatica,eco2_685_amb_385,single_cell,ratio,ambient_co2,-0.147300,,Loladze CO2 Dataset row 216,0,Species='Fagus sylvatica'->fagus_sylvatica | Tissue='foliar'->foliar | Element='Zn'->zn | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=-0.1473 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009',gt-decode-v2
