row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__048_Khan_2013__r484,gt,048_Khan_2013,mineral_concentration,na,c,edible,astra,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.402700,,Loladze CO2 Dataset row 484,0,"Species=""Lycopersicon esculentum 'Astra'""->astra | Tissue='fruit'->edible | Element='C'->c | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.4027 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r485,gt,048_Khan_2013,mineral_concentration,na,ca,edible,astra,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.038500,,Loladze CO2 Dataset row 485,0,"Species=""Lycopersicon esculentum 'Astra'""->astra | Tissue='fruit'->edible | Element='Ca'->ca | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.0385 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r486,gt,048_Khan_2013,mineral_concentration,na,cd,edible,astra,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.093800,,Loladze CO2 Dataset row 486,0,"Species=""Lycopersicon esculentum 'Astra'""->astra | Tissue='fruit'->edible | Element='Cd'->cd | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.0938 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r487,gt,048_Khan_2013,mineral_concentration,na,cr,edible,astra,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.214100,,Loladze CO2 Dataset row 487,0,"Species=""Lycopersicon esculentum 'Astra'""->astra | Tissue='fruit'->edible | Element='Cr'->cr | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.2141 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r488,gt,048_Khan_2013,mineral_concentration,na,cu,edible,astra,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.178000,,Loladze CO2 Dataset row 488,0,"Species=""Lycopersicon esculentum 'Astra'""->astra | Tissue='fruit'->edible | Element='Cu'->cu | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.178 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r489,gt,048_Khan_2013,mineral_concentration,na,fe,edible,astra,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.030300,,Loladze CO2 Dataset row 489,0,"Species=""Lycopersicon esculentum 'Astra'""->astra | Tissue='fruit'->edible | Element='Fe'->fe | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.0303 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r490,gt,048_Khan_2013,mineral_concentration,na,k,edible,astra,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.004000,,Loladze CO2 Dataset row 490,0,"Species=""Lycopersicon esculentum 'Astra'""->astra | Tissue='fruit'->edible | Element='K'->k | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.004 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r491,gt,048_Khan_2013,mineral_concentration,na,mg,edible,astra,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.054800,,Loladze CO2 Dataset row 491,0,"Species=""Lycopersicon esculentum 'Astra'""->astra | Tissue='fruit'->edible | Element='Mg'->mg | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.0548 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r492,gt,048_Khan_2013,mineral_concentration,na,mn,edible,astra,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.077700,,Loladze CO2 Dataset row 492,0,"Species=""Lycopersicon esculentum 'Astra'""->astra | Tissue='fruit'->edible | Element='Mn'->mn | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.0777 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r493,gt,048_Khan_2013,mineral_concentration,na,n,edible,astra,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.182700,,Loladze CO2 Dataset row 493,0,"Species=""Lycopersicon esculentum 'Astra'""->astra | Tissue='fruit'->edible | Element='N'->n | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.1827 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r494,gt,048_Khan_2013,mineral_concentration,na,ni,edible,astra,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.608500,,Loladze CO2 Dataset row 494,0,"Species=""Lycopersicon esculentum 'Astra'""->astra | Tissue='fruit'->edible | Element='Ni'->ni | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.6085 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
