row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__050_Polley_2011__r62,gt,050_Polley_2011,mineral_concentration,na,c,above_ground,bouteloua_curtipendula,pooled,pooled,ratio,ambient_co2,-0.021000,,Loladze CO2 Dataset row 62,0,Species='Bouteloua curtipendula'->bouteloua_curtipendula | Tissue='tillers'->above_ground | Element='C'->c | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=-0.021 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r63,gt,050_Polley_2011,mineral_concentration,na,ca,above_ground,bouteloua_curtipendula,pooled,pooled,ratio,ambient_co2,0.015700,,Loladze CO2 Dataset row 63,0,Species='Bouteloua curtipendula'->bouteloua_curtipendula | Tissue='tillers'->above_ground | Element='Ca'->ca | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=0.0157 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r64,gt,050_Polley_2011,mineral_concentration,na,cu,above_ground,bouteloua_curtipendula,pooled,pooled,ratio,ambient_co2,0.095700,,Loladze CO2 Dataset row 64,0,Species='Bouteloua curtipendula'->bouteloua_curtipendula | Tissue='tillers'->above_ground | Element='Cu'->cu | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=0.0957 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r65,gt,050_Polley_2011,mineral_concentration,na,fe,above_ground,bouteloua_curtipendula,pooled,pooled,ratio,ambient_co2,0.072400,,Loladze CO2 Dataset row 65,0,Species='Bouteloua curtipendula'->bouteloua_curtipendula | Tissue='tillers'->above_ground | Element='Fe'->fe | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=0.0724 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r66,gt,050_Polley_2011,mineral_concentration,na,k,above_ground,bouteloua_curtipendula,pooled,pooled,ratio,ambient_co2,-0.147200,,Loladze CO2 Dataset row 66,0,Species='Bouteloua curtipendula'->bouteloua_curtipendula | Tissue='tillers'->above_ground | Element='K'->k | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=-0.1472 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r67,gt,050_Polley_2011,mineral_concentration,na,mg,above_ground,bouteloua_curtipendula,pooled,pooled,ratio,ambient_co2,0.122800,,Loladze CO2 Dataset row 67,0,Species='Bouteloua curtipendula'->bouteloua_curtipendula | Tissue='tillers'->above_ground | Element='Mg'->mg | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=0.1228 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r68,gt,050_Polley_2011,mineral_concentration,na,mn,above_ground,bouteloua_curtipendula,pooled,pooled,ratio,ambient_co2,0.253600,,Loladze CO2 Dataset row 68,0,Species='Bouteloua curtipendula'->bouteloua_curtipendula | Tissue='tillers'->above_ground | Element='Mn'->mn | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=0.2536 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r69,gt,050_Polley_2011,mineral_concentration,na,n,above_ground,bouteloua_curtipendula,pooled,pooled,ratio,ambient_co2,0.135600,,Loladze CO2 Dataset row 69,0,Species='Bouteloua curtipendula'->bouteloua_curtipendula | Tissue='tillers'->above_ground | Element='N'->n | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=0.1356 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r70,gt,050_Polley_2011,mineral_concentration,na,p,above_ground,bouteloua_curtipendula,pooled,pooled,ratio,ambient_co2,0.018900,,Loladze CO2 Dataset row 70,0,Species='Bouteloua curtipendula'->bouteloua_curtipendula | Tissue='tillers'->above_ground | Element='P'->p | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=0.0189 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r71,gt,050_Polley_2011,mineral_concentration,na,zn,above_ground,bouteloua_curtipendula,pooled,pooled,ratio,ambient_co2,0.117100,,Loladze CO2 Dataset row 71,0,Species='Bouteloua curtipendula'->bouteloua_curtipendula | Tissue='tillers'->above_ground | Element='Zn'->zn | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=0.1171 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r925,gt,050_Polley_2011,mineral_concentration,na,c,above_ground,schizachyrium_scoparium,pooled,pooled,ratio,ambient_co2,0.003900,,Loladze CO2 Dataset row 925,0,Species='Schizachyrium scoparium'->schizachyrium_scoparium | Tissue='tillers'->above_ground | Element='C'->c | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=0.0039 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
