row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__058_ONeill_1987__r446,gt,058_ONeill_1987,mineral_concentration,na,al,foliar,,eco2_692_amb_367,single_cell,ratio,ambient_co2,-0.039000,,Loladze CO2 Dataset row 446,0,"Species='Liriodendron tulipifera'->(blank) | Tissue='foliar'->foliar | Element='Al'->al | eCO2=692 aCO2=367->eco2_692_amb_367 | AdditionalInfo='' | (E-A)/A=-0.039 | n_species_in_ref=1 | ref=""O'Neill et al 1987""",gt-decode-v2
gt__058_ONeill_1987__r447,gt,058_ONeill_1987,mineral_concentration,na,b,foliar,,eco2_692_amb_367,single_cell,ratio,ambient_co2,-0.143000,,Loladze CO2 Dataset row 447,0,"Species='Liriodendron tulipifera'->(blank) | Tissue='foliar'->foliar | Element='B'->b | eCO2=692 aCO2=367->eco2_692_amb_367 | AdditionalInfo='' | (E-A)/A=-0.143 | n_species_in_ref=1 | ref=""O'Neill et al 1987""",gt-decode-v2
gt__058_ONeill_1987__r448,gt,058_ONeill_1987,mineral_concentration,na,ba,foliar,,eco2_692_amb_367,single_cell,ratio,ambient_co2,-0.178000,,Loladze CO2 Dataset row 448,0,"Species='Liriodendron tulipifera'->(blank) | Tissue='foliar'->foliar | Element='Ba'->ba | eCO2=692 aCO2=367->eco2_692_amb_367 | AdditionalInfo='' | (E-A)/A=-0.178 | n_species_in_ref=1 | ref=""O'Neill et al 1987""",gt-decode-v2
gt__058_ONeill_1987__r449,gt,058_ONeill_1987,mineral_concentration,na,ca,foliar,,eco2_692_amb_367,single_cell,ratio,ambient_co2,-0.141000,,Loladze CO2 Dataset row 449,0,"Species='Liriodendron tulipifera'->(blank) | Tissue='foliar'->foliar | Element='Ca'->ca | eCO2=692 aCO2=367->eco2_692_amb_367 | AdditionalInfo='' | (E-A)/A=-0.141 | n_species_in_ref=1 | ref=""O'Neill et al 1987""",gt-decode-v2
gt__058_ONeill_1987__r450,gt,058_ONeill_1987,mineral_concentration,na,cu,foliar,,eco2_692_amb_367,single_cell,ratio,ambient_co2,-0.100000,,Loladze CO2 Dataset row 450,0,"Species='Liriodendron tulipifera'->(blank) | Tissue='foliar'->foliar | Element='Cu'->cu | eCO2=692 aCO2=367->eco2_692_amb_367 | AdditionalInfo='' | (E-A)/A=-0.1 | n_species_in_ref=1 | ref=""O'Neill et al 1987""",gt-decode-v2
gt__058_ONeill_1987__r451,gt,058_ONeill_1987,mineral_concentration,na,fe,foliar,,eco2_692_amb_367,single_cell,ratio,ambient_co2,-0.016000,,Loladze CO2 Dataset row 451,0,"Species='Liriodendron tulipifera'->(blank) | Tissue='foliar'->foliar | Element='Fe'->fe | eCO2=692 aCO2=367->eco2_692_amb_367 | AdditionalInfo='' | (E-A)/A=-0.016 | n_species_in_ref=1 | ref=""O'Neill et al 1987""",gt-decode-v2
gt__058_ONeill_1987__r452,gt,058_ONeill_1987,mineral_concentration,na,k,foliar,,eco2_692_amb_367,single_cell,ratio,ambient_co2,-0.072000,,Loladze CO2 Dataset row 452,0,"Species='Liriodendron tulipifera'->(blank) | Tissue='foliar'->foliar | Element='K'->k | eCO2=692 aCO2=367->eco2_692_amb_367 | AdditionalInfo='' | (E-A)/A=-0.072 | n_species_in_ref=1 | ref=""O'Neill et al 1987""",gt-decode-v2
gt__058_ONeill_1987__r453,gt,058_ONeill_1987,mineral_concentration,na,mg,foliar,,eco2_692_amb_367,single_cell,ratio,ambient_co2,-0.117000,,Loladze CO2 Dataset row 453,0,"Species='Liriodendron tulipifera'->(blank) | Tissue='foliar'->foliar | Element='Mg'->mg | eCO2=692 aCO2=367->eco2_692_amb_367 | AdditionalInfo='' | (E-A)/A=-0.117 | n_species_in_ref=1 | ref=""O'Neill et al 1987""",gt-decode-v2
gt__058_ONeill_1987__r454,gt,058_ONeill_1987,mineral_concentration,na,mn,foliar,,eco2_692_amb_367,single_cell,ratio,ambient_co2,-0.070000,,Loladze CO2 Dataset row 454,0,"Species='Liriodendron tulipifera'->(blank) | Tissue='foliar'->foliar | Element='Mn'->mn | eCO2=692 aCO2=367->eco2_692_amb_367 | AdditionalInfo='' | (E-A)/A=-0.07 | n_species_in_ref=1 | ref=""O'Neill et al 1987""",gt-decode-v2
gt__058_ONeill_1987__r455,gt,058_ONeill_1987,mineral_concentration,na,n,foliar,,eco2_692_amb_367,single_cell,ratio,ambient_co2,-0.331000,,Loladze CO2 Dataset row 455,0,"Species='Liriodendron tulipifera'->(blank) | Tissue='foliar'->foliar | Element='N'->n | eCO2=692 aCO2=367->eco2_692_amb_367 | AdditionalInfo='' | (E-A)/A=-0.331 | n_species_in_ref=1 | ref=""O'Neill et al 1987""",gt-decode-v2
gt__058_ONeill_1987__r456,gt,058_ONeill_1987,mineral_concentration,na,p,foliar,,eco2_692_amb_367,single_cell,ratio,ambient_co2,-0.241000,,Loladze CO2 Dataset row 456,0,"Species='Liriodendron tulipifera'->(blank) | Tissue='foliar'->foliar | Element='P'->p | eCO2=692 aCO2=367->eco2_692_amb_367 | AdditionalInfo='' | (E-A)/A=-0.241 | n_species_in_ref=1 | ref=""O'Neill et al 1987""",gt-decode-v2
